Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
85,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$18000000.00,40.0%,15 años,"$ 392,426.24",10.40 %,Tasa fija anual,13.1 %,"$ 79,142.40",Mensual
86,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$19980000.00,40.0%,15 años,"$ 435,561.68",10.40 %,Tasa fija anual,13.1 %,"$ 87,848.06",Mensual
87,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$180000.00,40.0%,10 años,"$ 4,911.28",10.40 %,Tasa fija anual,14.9 %,$ 967.50,Mensual
88,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$2160000.00,40.0%,10 años,"$ 55,793.92",10.40 %,Tasa fija anual,13.4 %,"$ 11,610.00",Mensual
89,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$4140000.00,40.0%,10 años,"$ 106,676.72",10.40 %,Tasa fija anual,13.3 %,"$ 22,252.50",Mensual
90,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$6120000.00,40.0%,10 años,"$ 157,559.60",10.40 %,Tasa fija anual,13.3 %,"$ 32,895.00",Mensual
91,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$8100000.00,0.8888888888888888%,10 años,"$ 4,911.28",10.40 %,Tasa fija anual,14.9 %,$ 967.50,Mensual
92,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$10080000.00,40.0%,10 años,"$ 259,325.20",10.40 %,Tasa fija anual,13.3 %,"$ 54,180.00",Mensual
93,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$12060000.00,40.0%,10 años,"$ 310,208.08",10.40 %,Tasa fija anual,13.3 %,"$ 64,822.50",Mensual
94,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$14040000.00,40.0%,10 años,"$ 361,090.80",10.40 %,Tasa fija anual,13.3 %,"$ 75,465.00",Mensual
95,HIPOTECA BANCOMER FIJA MEJORA TU CASA,$16020000.00,40.0%,10 años,"$ 411,973.60",10.40 %,Tasa fija anual,13.3 %,"$ 86,107.50",Mensual
