Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
28,Terminación de Obra,"$8,000,000.00",50%,20 años,"$106,949.21",11.25%,Fija,11.3915,"$46,499.66",Mensual
29,Terminación de Obra,"$8,500,000.00",50%,5 años,"$225,214.52",11%,Fija,22.6414,"$97,919.36",Mensual
29,Terminación de Obra,"$8,500,000.00",50%,10 años,"$146,164.77",11%,Fija,14.674,"$63,549.90",Mensual
29,Terminación de Obra,"$8,500,000.00",50%,20 años,"$113,597.62",11.25%,Fija,11.3915,"$49,390.27",Mensual
30,Terminación de Obra,"$9,000,000.00",50%,5 años,"$238,428.62",11%,Fija,22.6414,"$103,664.62",Mensual
30,Terminación de Obra,"$9,000,000.00",50%,10 años,"$154,728.86",11%,Fija,14.674,"$67,273.42",Mensual
30,Terminación de Obra,"$9,000,000.00",50%,20 años,"$120,246.00",11.25%,Fija,11.3915,"$52,280.87",Mensual
31,Terminación de Obra,"$9,500,000.00",50%,5 años,"$251,642.72",11%,Fija,22.6414,"$109,409.88",Mensual
31,Terminación de Obra,"$9,500,000.00",50%,10 años,"$163,292.96",11%,Fija,14.674,"$70,996.94",Mensual
31,Terminación de Obra,"$9,500,000.00",50%,20 años,"$126,894.38",11.25%,Fija,11.3915,"$55,171.47",Mensual
32,Terminación de Obra,"$10,000,000.00",50%,5 años,"$264,856.79",11%,Fija,22.6414,"$115,155.13",Mensual
32,Terminación de Obra,"$10,000,000.00",50%,10 años,"$171,857.08",11%,Fija,14.674,"$74,720.47",Mensual
32,Terminación de Obra,"$10,000,000.00",50%,20 años,"$133,542.78",11.25%,Fija,11.3915,"$58,062.08",Mensual
