Valor Vivienda,Monto,Plazo,AFORO,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago Mensual
11846154.00,7700000,120,65.0,308638.00,9.90,Fija,12.1,108023.23
12000000.00,7800000,120,65.0,312646.00,9.90,Fija,12.1,109426.13
12153846.00,7900000,120,65.0,316654.00,9.90,Fija,12.1,110829.03
12307692.00,8000000,120,65.0,320663.00,9.90,Fija,12.1,112231.93
12461538.00,8100000,120,65.0,324671.00,9.90,Fija,12.1,113634.83
12615385.00,8200000,120,65.0,328679.00,9.90,Fija,12.1,115037.73
12769231.00,8300000,120,65.0,332688.00,9.90,Fija,12.1,116440.63
12923077.00,8400000,120,65.0,336696.00,9.90,Fija,12.1,117843.53
13076923.00,8500000,120,65.0,340704.00,9.90,Fija,12.1,119246.43
13230769.00,8600000,120,65.0,344712.00,9.90,Fija,12.1,120649.32
13384615.00,8700000,120,65.0,348721.00,9.90,Fija,12.1,122052.22
13538462.00,8800000,120,65.0,352729.00,9.90,Fija,12.1,123455.12
13692308.00,8900000,120,65.0,356737.00,9.90,Fija,12.1,124858.02
13846154.00,9000000,120,65.0,360745.00,9.90,Fija,12.1,126260.92
14000000.00,9100000,120,65.0,364754.00,9.90,Fija,12.1,127663.82
14153846.00,9200000,120,65.0,368762.00,9.90,Fija,12.1,129066.72
14307692.00,9300000,120,65.0,372770.00,9.90,Fija,12.1,130469.62
14461538.00,9400000,120,65.0,376779.00,9.90,Fija,12.1,131872.52
14615385.00,9500000,120,65.0,380787.00,9.90,Fija,12.1,133275.42
14769231.00,9600000,120,65.0,384795.00,9.90,Fija,12.1,134678.32
14923077.00,9700000,120,65.0,388803.00,9.90,Fija,12.1,136081.21
15076923.00,9800000,120,65.0,392812.00,9.90,Fija,12.0,137484.11
15230769.00,9900000,120,65.0,396820.00,9.90,Fija,12.0,138887.01
15384615.00,10000000,120,65.0,400828.00,9.90,Fija,12.0,140289.91
500000.00,300000,180,60.0,15000.00,9.90,Fija,12.2,3475.49
500000.00,400000,180,80.0,15000.00,9.90,Fija,11.9,4593.98
588235.00,500000,180,85.0,16407.00,9.90,Fija,11.9,5742.48
705882.00,600000,180,85.0,19688.00,9.90,Fija,11.8,6890.97
823529.00,700000,180,85.0,22970.00,9.90,Fija,11.8,8039.47
941176.00,800000,180,85.0,26251.00,9.90,Fija,11.8,9187.97
1058824.00,900000,180,85.0,29533.00,9.90,Fija,11.8,10336.46
1176471.00,1000000,180,85.0,32814.00,9.90,Fija,11.8,11484.96
1294118.00,1100000,180,85.0,36096.00,9.90,Fija,11.8,12633.45
1411765.00,1200000,180,85.0,39377.00,9.90,Fija,11.8,13781.95
1529412.00,1300000,180,85.0,42658.00,9.90,Fija,11.8,14930.44
1647059.00,1400000,180,85.0,45940.00,9.90,Fija,11.8,16078.94
1764706.00,1500000,180,85.0,49221.00,9.90,Fija,11.8,17227.44
1882353.00,1600000,180,85.0,52503.00,9.90,Fija,11.8,18375.93
2000000.00,1700000,180,85.0,55784.00,9.90,Fija,11.8,19524.43
2117647.00,1800000,180,85.0,59065.00,9.90,Fija,11.8,20672.92
2235294.00,1900000,180,85.0,62347.00,9.90,Fija,11.8,21821.42
2352941.00,2000000,180,85.0,65628.00,9.90,Fija,11.8,22969.91
2470588.00,2100000,180,85.0,68910.00,9.90,Fija,11.8,24118.41
2588235.00,2200000,180,85.0,72191.00,9.90,Fija,11.8,25266.90
2705882.00,2300000,180,85.0,75473.00,9.90,Fija,11.8,26415.40
2823529.00,2400000,180,85.0,78754.00,9.90,Fija,11.8,27563.90
2941176.00,2500000,180,85.0,82035.00,9.90,Fija,11.8,28712.39
3058824.00,2600000,180,85.0,85317.00,9.90,Fija,11.8,29860.89
3176471.00,2700000,180,85.0,88598.00,9.90,Fija,11.8,31009.38
3294118.00,2800000,180,85.0,91880.00,9.90,Fija,11.8,32157.88
3411765.00,2900000,180,85.0,95161.00,9.90,Fija,11.8,33306.37
3529412.00,3000000,180,85.0,98442.00,9.90,Fija,11.8,34454.87
3647059.00,3100000,180,85.0,101724.00,9.90,Fija,11.8,35603.37
3764706.00,3200000,180,85.0,105005.00,9.90,Fija,11.8,36751.86
3882353.00,3300000,180,85.0,108287.00,9.90,Fija,11.8,37900.36
4000000.00,3400000,180,85.0,111568.00,9.90,Fija,11.8,39048.85
4117647.00,3500000,180,85.0,114850.00,9.90,Fija,11.8,40197.35
4235294.00,3600000,180,85.0,118131.00,9.90,Fija,11.8,41345.84
4352941.00,3700000,180,85.0,121412.00,9.90,Fija,11.8,42494.34
4470588.00,3800000,180,85.0,124694.00,9.90,Fija,11.8,43642.84
4588235.00,3900000,180,85.0,127975.00,9.90,Fija,11.8,44791.33
4705882.00,4000000,180,85.0,131257.00,9.90,Fija,11.8,45939.83
4823529.00,4100000,180,85.0,134538.00,9.90,Fija,11.8,47088.32
4941176.00,4200000,180,85.0,137819.00,9.90,Fija,11.8,48236.82
5058824.00,4300000,180,85.0,141101.00,9.90,Fija,11.8,49385.31
5176471.00,4400000,180,85.0,144382.00,9.90,Fija,11.8,50533.81
5294118.00,4500000,180,85.0,147664.00,9.90,Fija,11.8,51682.31
5411765.00,4600000,180,85.0,150945.00,9.90,Fija,11.8,52830.80
5529412.00,4700000,180,85.0,154227.00,9.90,Fija,11.8,53979.30
5647059.00,4800000,180,85.0,157508.00,9.90,Fija,11.8,55127.79
5764706.00,4900000,180,85.0,160789.00,9.90,Fija,11.8,56276.29
5882353.00,5000000,180,85.0,164071.00,9.90,Fija,11.8,57424.78
7846154.00,5100000,180,65.0,168361.00,9.90,Fija,11.9,58926.36
8000000.00,5200000,180,65.0,171662.00,9.90,Fija,11.9,60081.77
8153846.00,5300000,180,65.0,174963.00,9.90,Fija,11.9,61237.19
8307692.00,5400000,180,65.0,178265.00,9.90,Fija,11.9,62392.61
