Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
83,Compra tu Casa,2000000,95.0,180,"$ 44,840.00",11.50%,Pagos Oportunos,13.4%,"$ 22,420.00",Mensual
84,Compra tu Casa,2500000,95.0,180,"$ 56,050.00",11.50%,Pagos Oportunos,13.4%,"$ 28,025.00",Mensual
85,Compra tu Casa,3000000,95.0,180,"$ 67,260.00",11.50%,Pagos Oportunos,13.4%,"$ 33,630.00",Mensual
86,Compra tu Casa,3500000,95.0,180,"$ 78,470.00",11.50%,Pagos Oportunos,13.4%,"$ 39,235.00",Mensual
87,Compra tu Casa,4000000,95.0,180,"$ 89,680.00",11.50%,Pagos Oportunos,13.4%,"$ 44,840.00",Mensual
88,Compra tu Casa,4500000,95.0,180,"$ 100,890.00",11.50%,Pagos Oportunos,13.4%,"$ 50,445.00",Mensual
89,Compra tu Casa,5000000,95.0,180,"$ 112,100.00",11.50%,Pagos Oportunos,13.4%,"$ 56,050.00",Mensual
90,Compra tu Casa,5500000,95.0,180,"$ 123,310.00",11.50%,Pagos Oportunos,13.4%,"$ 61,655.00",Mensual
91,Compra tu Casa,6000000,95.0,180,"$ 134,520.00",11.50%,Pagos Oportunos,13.4%,"$ 67,260.00",Mensual
92,Compra tu Casa,6500000,95.0,180,"$ 145,730.00",11.50%,Pagos Oportunos,13.4%,"$ 72,865.00",Mensual
93,Compra tu Casa,7000000,95.0,180,"$ 156,940.00",11.50%,Pagos Oportunos,13.4%,"$ 78,470.00",Mensual
94,Compra tu Casa,7500000,95.0,180,"$ 168,150.00",11.50%,Pagos Oportunos,13.4%,"$ 84,075.00",Mensual
95,Compra tu Casa,8000000,95.0,180,"$ 179,360.00",11.50%,Pagos Oportunos,13.4%,"$ 89,680.00",Mensual
96,Compra tu Casa,8500000,95.0,180,"$ 190,570.00",11.50%,Pagos Oportunos,13.4%,"$ 95,285.00",Mensual
97,Compra tu Casa,9000000,95.0,180,"$ 201,780.00",11.50%,Pagos Oportunos,13.4%,"$ 100,890.00",Mensual
98,Compra tu Casa,9500000,95.0,180,"$ 212,990.00",11.50%,Pagos Oportunos,13.4%,"$ 106,495.00",Mensual
99,Compra tu Casa,10000000,95.0,180,"$ 224,200.00",11.50%,Pagos Oportunos,13.4%,"$ 112,100.00",Mensual
100,Compra tu Casa,400000,95.0,240,"$ 10,000.00",11.60%,Pagos Oportunos,13.4%,"$ 4,126.80",Mensual
101,Compra tu Casa,500000,95.0,240,"$ 10,317.00",11.60%,Pagos Oportunos,13.4%,"$ 5,158.50",Mensual
