Subproducto,"Institución",Producto,Moneda,"Valor Vivienda",Aforo,Plazo,"Ingresos Requeridos","Tasa de Interés","Tipo de Tasa",CAT,"CAT Incluye IVA",Pago,"Frecuencia de Pago",Avaluo,"Comisión por Apertura","Gastos Notariales","Desembolso Inicial"
117,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,2500000,95.0,240,51585.0,11.6,Fija,13.4,0,25792.5,Mensual,6700.0,29687.5,50000.0,211387.5
118,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3000000,95.0,240,61902.0,11.6,Fija,13.4,0,30951.0,Mensual,6700.0,35625.0,60000.0,252325.0
119,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,3500000,95.0,240,72219.0,11.6,Fija,13.4,0,36109.5,Mensual,9600.0,41562.5,70000.0,296162.5
120,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4000000,95.0,240,82536.0,11.6,Fija,13.4,0,41268.0,Mensual,9600.0,47500.0,80000.0,337100.0
121,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,4500000,95.0,240,92853.0,11.6,Fija,13.4,0,46426.5,Mensual,12300.0,53437.5,90000.0,380737.5
122,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5000000,95.0,240,103170.0,11.6,Fija,13.4,0,51585.0,Mensual,12300.0,59375.0,100000.0,421675.0
123,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,5500000,95.0,240,113487.0,11.6,Fija,13.4,0,56743.5,Mensual,17200.0,65312.5,110000.0,467512.5
124,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6000000,95.0,240,123804.0,11.6,Fija,13.4,0,61902.0,Mensual,17200.0,71250.0,120000.0,508450.0
125,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,6500000,95.0,240,134121.0,11.6,Fija,13.4,0,67060.5,Mensual,17200.0,77187.5,130000.0,549387.5
126,"Scotiabank Inverlat",CREDIRESIDENCIAL,Pesos,7000000,95.0,240,144438.0,11.6,Fija,13.4,0,72219.0,Mensual,17200.0,83125.0,140000.0,590325.0
